Episode: 200, Step: 99, Total Reward:-42
Episode: 201, Step: 99, Total Reward:-46
Episode: 202, Step: 75, Total Reward: 75
Episode: 203, Step: 92, Total Reward: 67
Episode: 204, Step: 99, Total Reward:-38
Episode: 205, Step: 99, Total Reward:-48
Episode: 206, Step: 97, Total Reward: 64
Episode: 207, Step: 92, Total Reward: 73
Episode: 208, Step: 97, Total Reward: 59
Episode: 209, Step: 99, Total Reward:-29
Episode: 210, Step: 99, Total Reward:-32
Episode: 211, Step: 99, Total Reward:-36
Episode: 212, Step: 99, Total Reward:-42
Episode: 213, Step: 96, Total Reward: 60
Episode: 214, Step: 99, Total Reward:-34
Episode: 215, Step: 99, Total Reward:-39
Episode: 216, Step: 99, Total Reward:-39
Episode: 217, Step: 99, Total Reward:-42
Episode: 218, Step: 89, Total Reward: 65
Episode: 219, Step: 93, Total Reward: 70
Episode: 220, Step: 99, Total Reward:-33
Episode: 221, Step: 99, Total Reward:-38
Episode: 222, Step: 99, Total Reward:-48
Episode: 223, Step: 77, Total Reward: 73
Episode: 224, Step: 69, Total Reward: 74
Episode: 225, Step: 88, Total Reward: 75
Episode: 226, Step: 99, Total Reward:-35
Episode: 227, Step: 99, Total Reward:-33
Episode: 228, Step: 99, Total Reward:-40
Episode: 229, Step: 93, Total Reward: 70
Episode: 230, Step: 94, Total Reward: 60
Episode: 231, Step: 99, Total Reward:-31
Episode: 232, Step: 99, Total Reward:-42
Episode: 233, Step: 99, Total Reward:-31
Episode: 234, Step: 99, Total Reward:-36
Episode: 235, Step: 99, Total Reward:-36
Episode: 236, Step: 99, Total Reward:-44
Episode: 237, Step: 99, Total Reward:-39
Episode: 238, Step: 99, Total Reward:-31
Episode: 239, Step: 99, Total Reward:-38
Episode: 240, Step: 99, Total Reward:-48
Episode: 241, Step: 99, Total Reward:-37
Episode: 242, Step: 99, Total Reward:-35
Episode: 243, Step: 70, Total Reward: 79
Episode: 244, Step: 99, Total Reward:-33
Episode: 245, Step: 92, Total Reward: 62
Episode: 246, Step: 81, Total Reward: 68
Episode: 247, Step: 99, Total Reward:-37
Episode: 248, Step: 99, Total Reward:-35
Episode: 249, Step: 99, Total Reward:-36
Episode: 250, Step: 64, Total Reward: 77
Episode: 251, Step: 90, Total Reward: 64
Episode: 252, Step: 97, Total Reward: 64
Episode: 253, Step: 99, Total Reward:-25
Episode: 254, Step: 91, Total Reward: 67
Episode: 255, Step: 85, Total Reward: 74
Episode: 256, Step: 95, Total Reward: 55
Episode: 257, Step: 64, Total Reward: 76
Episode: 258, Step: 99, Total Reward:-43
Episode: 259, Step: 86, Total Reward: 66
Episode: 260, Step: 99, Total Reward:-39
Episode: 261, Step: 95, Total Reward: 64
Episode: 262, Step: 87, Total Reward: 69
Episode: 263, Step: 73, Total Reward: 76
Episode: 264, Step: 90, Total Reward: 73
Episode: 265, Step: 99, Total Reward:-35
Episode: 266, Step: 94, Total Reward: 71
Episode: 267, Step: 99, Total Reward:-37
Episode: 268, Step: 99, Total Reward:-51
Episode: 269, Step: 93, Total Reward: 70
Episode: 270, Step: 99, Total Reward:-44
Episode: 271, Step: 99, Total Reward:-33
Episode: 272, Step: 85, Total Reward: 73
Episode: 273, Step: 67, Total Reward: 74
Episode: 274, Step: 99, Total Reward:-35
Episode: 275, Step: 99, Total Reward:-36
Episode: 276, Step: 99, Total Reward:-35
Episode: 277, Step: 65, Total Reward: 75
Episode: 278, Step: 76, Total Reward: 71
Episode: 279, Step: 91, Total Reward: 68
Episode: 280, Step: 63, Total Reward: 80
Episode: 281, Step: 99, Total Reward:-32
Episode: 282, Step: 89, Total Reward: 58
Episode: 283, Step: 99, Total Reward:-35
Episode: 284, Step: 70, Total Reward: 71
Episode: 285, Step: 99, Total Reward:-40
Episode: 286, Step: 99, Total Reward:-41
Episode: 287, Step: 94, Total Reward: 64
Episode: 288, Step: 72, Total Reward: 75
Episode: 289, Step: 99, Total Reward:-30
Episode: 290, Step: 99, Total Reward:-34
Episode: 291, Step: 99, Total Reward:-35
Episode: 292, Step: 73, Total Reward: 81
Episode: 293, Step: 99, Total Reward:-35
Episode: 294, Step: 85, Total Reward: 74
Episode: 295, Step: 83, Total Reward: 69
Episode: 296, Step: 66, Total Reward: 83
Episode: 297, Step: 67, Total Reward: 78
Episode: 298, Step: 73, Total Reward: 76
Episode: 299, Step: 80, Total Reward: 70
Episode: 300, Step: 99, Total Reward:-30
Episode: 301, Step: 99, Total Reward:-28
Episode: 302, Step: 99, Total Reward:-31
Episode: 303, Step: 85, Total Reward: 71
Episode: 304, Step: 77, Total Reward: 72
Episode: 305, Step: 67, Total Reward: 82
Episode: 306, Step: 99, Total Reward:-27
Episode: 307, Step: 84, Total Reward: 68
Episode: 308, Step: 92, Total Reward: 67
Episode: 309, Step: 88, Total Reward: 68
Episode: 310, Step: 61, Total Reward: 84
Episode: 311, Step: 58, Total Reward: 82
Episode: 312, Step: 74, Total Reward: 75
Episode: 313, Step: 99, Total Reward:-49
Episode: 314, Step: 89, Total Reward: 65
Episode: 315, Step: 99, Total Reward:-37
Episode: 316, Step: 99, Total Reward:-34
Episode: 317, Step: 89, Total Reward: 72
Episode: 318, Step: 44, Total Reward: 88
Episode: 319, Step: 79, Total Reward: 70
Episode: 320, Step: 93, Total Reward: 57
Episode: 321, Step: 70, Total Reward: 71
Episode: 322, Step: 54, Total Reward: 84
Episode: 323, Step: 99, Total Reward:-37
Episode: 324, Step: 99, Total Reward:-39
Episode: 325, Step: 99, Total Reward:-38
Episode: 326, Step: 69, Total Reward: 78
Episode: 327, Step: 77, Total Reward: 73
Episode: 328, Step: 87, Total Reward: 69
Episode: 329, Step: 99, Total Reward:-38
Episode: 330, Step: 68, Total Reward: 81
Episode: 331, Step: 52, Total Reward: 79
Episode: 332, Step: 57, Total Reward: 88
Episode: 333, Step: 98, Total Reward: 72
Episode: 334, Step: 80, Total Reward: 69
Episode: 335, Step: 95, Total Reward: 64
Episode: 336, Step: 74, Total Reward: 82
Episode: 337, Step: 99, Total Reward: 62
Episode: 338, Step: 80, Total Reward: 79
Episode: 339, Step: 89, Total Reward: 67
Episode: 340, Step: 99, Total Reward:-27
Episode: 341, Step: 99, Total Reward:-33
Episode: 342, Step: 68, Total Reward: 75
Episode: 343, Step: 82, Total Reward: 77
Episode: 344, Step: 69, Total Reward: 80
Episode: 345, Step: 99, Total Reward:-32
Episode: 346, Step: 88, Total Reward: 68
Episode: 347, Step: 95, Total Reward: 72
Episode: 348, Step: 86, Total Reward: 72
Episode: 349, Step: 87, Total Reward: 71
Episode: 350, Step: 93, Total Reward: 70
Episode: 351, Step: 63, Total Reward: 78
Episode: 352, Step: 87, Total Reward: 71
Episode: 353, Step: 76, Total Reward: 76
Episode: 354, Step: 64, Total Reward: 83
Episode: 355, Step: 88, Total Reward: 71
Episode: 356, Step: 90, Total Reward: 62
Episode: 357, Step: 69, Total Reward: 71
Episode: 358, Step: 67, Total Reward: 74
Episode: 359, Step: 83, Total Reward: 67
Episode: 360, Step: 79, Total Reward: 77
Episode: 361, Step: 67, Total Reward: 73
Episode: 362, Step: 71, Total Reward: 72
Episode: 363, Step: 76, Total Reward: 80
Episode: 364, Step: 76, Total Reward: 74
Episode: 365, Step: 45, Total Reward: 84
Episode: 366, Step: 99, Total Reward: 62
Episode: 367, Step: 66, Total Reward: 79
Episode: 368, Step: 71, Total Reward: 74
Episode: 369, Step: 71, Total Reward: 76
