Episode: 244, Step:25225, Total Reward:-4797
Episode: 245, Step:9043, Total Reward:-1620
Episode: 246, Step:11569, Total Reward:-2086
Episode: 247, Step:9854, Total Reward:-1784
Episode: 248, Step:16476, Total Reward:-3057
Episode: 249, Step:9371, Total Reward:-1751
Episode: 250, Step:19776, Total Reward:-3723
Episode: 251, Step:6979, Total Reward:-1239
Episode: 252, Step:8418, Total Reward:-1445
Episode: 253, Step:7595, Total Reward:-1358
Episode: 254, Step:8974, Total Reward:-1633
Episode: 255, Step:6734, Total Reward:-1172
Episode: 256, Step:7156, Total Reward:-1218
Episode: 257, Step:10342, Total Reward:-1849
Episode: 258, Step:8121, Total Reward:-1490
Episode: 259, Step:14513, Total Reward:-2678
Episode: 260, Step:15185, Total Reward:-2828
Episode: 261, Step:8557, Total Reward:-1578
Episode: 262, Step:9302, Total Reward:-1655
Episode: 263, Step:7640, Total Reward:-1311
Episode: 264, Step:6904, Total Reward:-1191
Episode: 265, Step:6571, Total Reward:-1147
Episode: 266, Step:9746, Total Reward:-1752
Episode: 267, Step:7136, Total Reward:-1223
Episode: 268, Step:10585, Total Reward:-1914
Episode: 269, Step:6963, Total Reward:-1264
Episode: 270, Step:7549, Total Reward:-1405
Episode: 271, Step:21839, Total Reward:-4008
Episode: 272, Step:7315, Total Reward:-1200
Episode: 273, Step:10047, Total Reward:-1880
Episode: 274, Step:6394, Total Reward:-1111
Episode: 275, Step:7407, Total Reward:-1292
Episode: 276, Step:5926, Total Reward:-981
Episode: 277, Step:9158, Total Reward:-1654
Episode: 278, Step:7503, Total Reward:-1269
Episode: 279, Step:7852, Total Reward:-1316
Episode: 280, Step:11796, Total Reward:-2142
Episode: 281, Step:6279, Total Reward:-1086
Episode: 282, Step:23309, Total Reward:-4319
Episode: 283, Step:8701, Total Reward:-1533
Episode: 284, Step:7853, Total Reward:-1319
Episode: 285, Step:10671, Total Reward:-1892
Episode: 286, Step:7259, Total Reward:-1259
Episode: 287, Step:6782, Total Reward:-1160
Episode: 288, Step:5790, Total Reward:-948
Episode: 289, Step:6339, Total Reward:-1112
Episode: 290, Step:6919, Total Reward:-1186
Episode: 291, Step:11671, Total Reward:-2118
Episode: 292, Step:5442, Total Reward:-888
Episode: 293, Step:6433, Total Reward:-1078
Episode: 294, Step:10962, Total Reward:-1969
Episode: 295, Step:6941, Total Reward:-1163
Episode: 296, Step:7865, Total Reward:-1374
Episode: 297, Step:5713, Total Reward:-927
Episode: 298, Step:22763, Total Reward:-4106
Episode: 299, Step:6354, Total Reward:-1082
Episode: 300, Step:7556, Total Reward:-1301
Episode: 301, Step:8142, Total Reward:-1421
Episode: 302, Step:15022, Total Reward:-2757
Episode: 303, Step:5891, Total Reward:-1022
Episode: 304, Step:6218, Total Reward:-1074
Episode: 305, Step:5667, Total Reward:-904
Episode: 306, Step:6370, Total Reward:-1040
Episode: 307, Step:9904, Total Reward:-1771
Episode: 308, Step:6054, Total Reward:-992
Episode: 309, Step:6150, Total Reward:-995
Episode: 310, Step:5965, Total Reward:-965
Episode: 311, Step:9347, Total Reward:-1700
Episode: 312, Step:8091, Total Reward:-1400
